abd L kcd
bed T stf
bed W hrt
bed W hun
cum W nbl
drb D ham
drb L ken
drb L not
drb W lan
drb W yrk
ess D hrt
ess D sfk
gls D sur
gls D yrk
gls W lan
gls W not
gls W sus
ham L drb
ham L ken
hrt D bed
hrt D som
hrt W ess
hrt W sfk
hun L bed
ken L lan
ken L not
ken W drb
ken W ham
ken W sur
ken W sus
lan D gls
lan W drb
lan W ken
lan W not
lan W yrk
lei D bed
lei D nth
lei L not
mdx D not
mdx W sur
mdx W yrk
nfk W sfk
not D gls
not D ken
not D mdx
not W drb
not W lan
not W lei
not W sur
not W yrk
nth L lei
rox L nbl
sfk D hrt
sfk W ess
sfk W nfk
som W wor
sur D ken
sur D mdx
sur L not
sur L yrk
sur W gls
sur W sus
sus L gls
sus L sur
sus L yrk
sus W ken
yrk D lan
yrk L mdx
yrk W drb
yrk W gls
yrk W not
yrk W sur
yrk W sus
