ans D abd
che D lan
che W nbl
cum D nbl
cum W dur
dev D wil
dor D wil
drb L ken
drb L lan
drb L sur
drb L sus
drb L yrk
dur L cum
dur W nbl
ess D nfk
ess D nth
ess W hrt
gls D mdx
gls D sur
gls L not
gls L sus
gls L yrk
gls W lan
ham L dor
ham L sur
ham L sus
ham W ken
ham W som
hef W rad
hrt D ess
hrt D war
ken L lan
ken L mdx
ken L sus
ken L yrk
ken W drb
ken W ham
ken W som
ken W sur
lan D gls
lan L ken
lan L sur
lan L yrk
lan W che
lan W drb
lan W lei
lan W som
lei D nfk
lei L lan
lei L sur
lei W war
mdx D yrk
mdx L not
mdx L sur
mdx W gls
mdx W ken
mnm D bre
nbl D cum
nbl D dur
nbl W che
nfk W ess
nfk W nth
nfk W sfk
not W gls
not W mdx
not W sur
not W sus
not W yrk
nth D ess
nth W nfk
nth W rut
nth W war
sal W stf
sfk L nfk
som L ken
som L lan
som W dev
som W ham
stf L wor
sur D ken
sur D not
sur D yrk
sur L lan
sur L mdx
sur W drb
sur W ess
sur W gls
sur W ham
sur W lei
sur W sus
sus D ken
sus L not
sus L sur
sus W drb
sus W gls
sus W ham
sus W yrk
war L lei
war L nth
war W hrt
wil L dev
wor L sal
wor W stf
yrk D mdx
yrk D sur
yrk L lan
yrk L not
yrk W drb
yrk W gls
yrk W ken
yrk W sus
